# This file derived from http://chir.ag/projects/ntc/ntc.js, by Chirag Mehta
# Creative Commons License: Attribution 2.5 http://creativecommons.org/licenses/by/2.5/

000000,Black
3B3B3B,23.1% Gray
3B7A57,Amazon
3B91B4,Boston Blue
3C0878,Windsor
3C1206,Rebel
3C1F76,Meteorite
3C2005,Dark Ebony
3C3910,Camouflage
3C3C3C,23.5% Gray
3C4151,Bright Gray
3C4443,Cape Cod
3C493A,Lunar Green
3D0C02,Bean  
3D2B1F,Bistre
3D3D3D,23.9% Gray
3D7D52,Goblin
3E0480,Kingfisher Daisy
3E1C14,Cedar
3E2B23,English Walnut
3E2C1C,Black Marlin
3E3A44,Ship Gray
3E3E3E,24.3% Gray
3EABBF,Pelorous
3F2109,Bronze
3F2500,Cola
3F3002,Madras
3F307F,Minsk
3F3F3F,24.7% Gray
3F4C3A,Cabbage Pont
3F583B,Tom Thumb
3F5D53,Mineral Green
3FC1AA,Puerto Rico
3FFF00,Harlequin
401801,Brown Pod
40291D,Cork
403B38,Masala
403D19,Thatch Green
404040,25.1% Gray
405169,Fiord
40826D,Viridian
40A860,Chateau Green
410056,Ripe Plum
411F10,Paco
412010,Deep Oak
413C37,Merlin
414141,25.5% Gray
414257,Gun Powder
414C7D,East Bay
4169E1,Royal Blue
41AA78,Ocean Green
420303,Burnt Maroon
423921,Lisbon Brown
424242,25.9% Gray
427977,Faded Jade
431560,Scarlet Gum
433120,Iroko
433E37,Armadillo
434343,26.3% Gray
434C59,River Bed
436A0D,Green Leaf
44012D,Barossa
441D00,Morocco Brown
444444,26.7% Gray
444954,Mako
454545,27.1% Gray
454936,Kelp
456CAC,San Marino
45B1E8,Picton Blue
460B41,Loulou
462425,Crater Brown
464646,27.5% Gray
465945,Gray Asparagus
4682B4,Steel Blue
474747,27.8% Gray
480404,Rustic Red
480607,Bulgarian Rose
480656,Clairvoyant
481C1C,Cocoa Bean
483131,Woody Brown
483C32,Taupe
484848,28.2% Gray
49170C,Van Cleef
492615,Brown Derby
49371B,Metallic Bronze
494949,28.6% Gray
495400,Verdun Green
496679,Blue Bayoux
497183,Bismark
4A2A04,Bracken
4A3004,Deep Bronze
4A3C30,Mondo
4A4244,Tundora
4A444B,Gravel
4A4A4A,29.0% Gray
4A4E5A,Trout
4B0082,Pigment Indigo
4B4B4B,29.4% Gray
4B5D52,Nandor
4C3024,Saddle
4C4C4C,29.8% Gray
4C4F56,Abbey
4D0135,Blackberry
4D0A18,Cab Sav
4D1E01,Indian Tan
4D282D,Cowboy
4D282E,Livid Brown
4D3833,Rock
4D3D14,Punga
4D400F,Bronzetone
4D4D4D,30.2% Gray
4D5328,Woodland
4E0606,Mahogany
4E2A5A,Bossanova
4E3B41,Matterhorn
4E420C,Bronze Olive
4E4562,Mulled Wine
4E4E4E,30.6% Gray
4E6649,Axolotl
4E7F9E,Wedgewood
4EABD1,Shakespeare
4F1C70,Honey Flower
4F2398,Daisy Bush
4F4F4F,31.0% Gray
4F69C6,Indigo
4F7942,Fern Green
4F9D5D,Fruit Salad
4FA83D,Apple
504351,Mortar
505050,31.4% Gray
507096,Kashmir Blue
507672,Cutty Sark
50C878,Emerald
514649,Emperor
515151,31.8% Gray
516E3D,Chalet Green
517C66,Como
51808F,Smalt Blue
52001F,Castro
520C17,Maroon Oak
523C94,Gigas
525252,32.2% Gray
533455,Voodoo
534491,Victoria
535353,32.5% Gray
53824B,Hippie Green
541012,Heath
544333,Judge Gray
54534D,Fuscous Gray
545454,32.9% Gray
549019,Vida Loca
55280C,Cioccolato
555555,33.3% Gray
555B10,Saratoga
556D56,Finlandia
5590D9,Havelock Blue
565656,33.7% Gray
56B4BE,Fountain Blue
575757,34.1% Gray
578363,Spring Leaves
583401,Saddle Brown
585562,Scarpa Flow
585858,34.5% Gray
587156,Cactus
589AAF,Hippie Blue
591D35,Wine Berry
592804,Brown Bramble
593737,Congo Brown
594433,Millbrook
595959,34.9% Gray
5A5A5A,35.3% Gray
5A6E9C,Waikawa Gray
5A87A0,Horizon
5B3013,Jambalaya
5B5B5B,35.7% Gray
5C0120,Bordeaux
5C0536,Mulberry Wood
5C2E01,Carnaby Tan
5C5C5C,36.1% Gray
5C5D75,Comet
5D1E0F,Redwood
5D4C51,Don Juan
5D5C58,Chicago
5D5D5D,36.5% Gray
5D5E37,Verdigris
5D7747,Dingley
5DA19F,Breaker Bay
5E483E,Kabul
5E5D3B,Hemlock
5E5E5E,36.9% Gray
5F3D26,Irish Coffee
5F5F5F,37.3% Gray
5F5F6E,Mid Gray
5F6672,Shuttle Gray
5FA777,Aqua Forest
5FB3AC,Tradewind
604913,Horses Neck
605B73,Smoky
606060,37.6% Gray
606E68,Corduroy
6093D1,Danube
612718,Espresso
614051,Eggplant
615D30,Costa Del Sol
616161,38.0% Gray
61845F,Glade Green
622F30,Buccaneer
623F2D,Quincy
624E9A,Butterfly Bush
625119,West Coast
626262,38.4% Gray
626649,Finch
636363,38.8% Gray
639A8F,Patina
63B76C,Fern
6456B7,Blue Violet
646077,Dolphin
646463,Storm Dust
646464,39.2% Gray
646A54,Siam
646E75,Nevada
6495ED,Cornflower Blue
64CCDB,Viking
65000B,Rosewood
651A14,Cherrywood
652DC1,Purple Heart
656565,39.6% Gray
657220,Fern Frond
65745D,Willow Grove
65869F,Hoki
660045,Pompadour
660099,Purple
66023C,Tyrian Purple
661010,Dark Tan
666666,40.0% Gray
66B58F,Silver Tree
66FF00,Bright Green
66FF66,Screamin' Green
67032D,Black Rose
675FA6,Scampi
676662,Ironside Gray
676767,40.4% Gray
678975,Viridian Green
67A712,Christi
683600,Nutmeg Wood Finish
685558,Zambezi
685E6E,Salt Box
686868,40.8% Gray
692545,Tawny Port
692D54,Finn
695F62,Scorpion
696969,41.2% Gray
697E9A,Lynch
6A442E,Spice
6A5D1B,Himalaya
6A6051,Soya Bean
6A6A6A,41.6% Gray
6B2A14,Hairy Heath
6B3FA0,Royal Purple
6B4E31,Shingle Fawn
6B5755,Dorado
6B6B6B,42.0% Gray
6B8BA2,Bermuda Gray
6B8E23,Olive Drab
6C3082,Eminence
6C6C6C,42.4% Gray
6CDAE7,Turquoise Blue
6D0101,Lonestar
6D5E54,Pine Cone
6D6C6C,Dove Gray
6D6D6D,42.7% Gray
6D9292,Juniper
6D92A1,Gothic
6E0902,Red Oxide
6E1D14,Moccaccino
6E4826,Pickled Bean
6E4B26,Dallas
6E6D57,Kokoda
6E6E6E,43.1% Gray
6E7783,Pale Sky
6F440C,Cafe Royale
6F6A61,Flint
6F6F6F,43.5% Gray
6F8E63,Highland
6F9D02,Limeade
6FD0C5,Downy
701C1C,Persian Plum
704214,Sepia
704A07,Antique Bronze
704F50,Ferra
706555,Coffee
707070,43.9% Gray
708090,Slate Gray
711A00,Cedar Wood Finish
71291D,Metallic Copper
714693,Affair
714AB2,Studio
715D47,Tobacco Brown
716338,Yellow Metal
716B56,Peat
716E10,Olivetone
717171,44.3% Gray
717486,Storm Gray
718080,Sirocco
71D9E2,Aquamarine Blue
72010F,Venetian Red
724A2F,Old Copper
726D4E,Go Ben
727272,44.7% Gray
727B89,Raven
731E8F,Seance
734A12,Raw Umber
736C9F,Kimberly
736D58,Crocodile
737373,45.1% Gray
737829,Crete
738678,Xanadu
74640D,Spicy Mustard
747474,45.5% Gray
747D63,Limed Ash
747D83,Rolling Stone
748881,Blue Smoke
749378,Laurel
74C365,Mantis
755A57,Russett
7563A8,Deluge
757575,45.9% Gray
76395D,Cosmic
7666C6,Blue Marguerite
767676,46.3% Gray
76BD17,Lima
76D7EA,Sky Blue
770F05,Dark Burgundy
771F1F,Crown of Thorns
773F1A,Walnut
776F61,Pablo
777777,46.7% Gray
778120,Pacifika
779E86,Oxley
77DD77,Pastel Green
780109,Japanese Maple
782D19,Mocha
782F16,Peanut
787878,47.1% Gray
78866B,Camouflage Green
788A25,Wasabi
788BBA,Ship Cove
78A39C,Sea Nymph
795D4C,Roman Coffee
796878,Old Lavender
796989,Rum
796A78,Fedora
796D62,Sandstone
797979,47.5% Gray
79DEEC,Spray
7A013A,Siren
7A58C1,Fuchsia Blue
7A7A7A,47.8% Gray
7A7A7A,Boulder
7A89B8,Wild Blue Yonder
7AC488,De York
7B3801,Red Beech
7B3F00,Cinnamon
7B6608,Yukon Gold
7B7874,Tapa
7B7B7B,48.2% Gray
7B7C94,Waterloo 
7B8265,Flax Smoke
7B9F80,Amulet
7BA05B,Asparagus
7C1C05,Kenyan Copper
7C7631,Pesto
7C778A,Topaz
7C7B7A,Concord
7C7B82,Jumbo
7C7C7C,48.6% Gray
7C881A,Trendy Green
7CA1A6,Gumbo
7CB0A1,Acapulco
7CB7BB,Neptune
7D2C14,Pueblo
7D7D7D,49.0% Gray
7DA98D,Bay Leaf
7DC8F7,Malibu
7DD8C6,Bermuda
7E3A15,Copper Canyon
7E7E7E,49.4% Gray
7F1734,Claret
7F3A02,Peru Tan
7F626D,Falcon
7F7589,Mobster
7F76D3,Moody Blue
7F7F7F,49.8% Gray
7FFF00,Chartreuse
7FFFD4,Aquamarine
800000,Maroon
800B47,Rose Bud Cherry
801818,Falu Red
80341F,Red Robin
803790,Vivid Violet
80461B,Russet
807E79,Friar Gray
808000,Olive
808080,50.2% Gray
80B3AE,Gulf Stream
80B3C4,Glacier
80CCEA,Seagull
81422C,Nutmeg
816E71,Spicy Pink
817377,Empress
818181,50.6% Gray
819885,Spanish Green
826F65,Sand Dune
828282,51.0% Gray
828685,Gunsmoke
828F72,Battleship Gray
831923,Merlot
837050,Shadow
838383,51.4% Gray
83AA5D,Chelsea Cucumber
83D0C6,Monte Carlo
843179,Plum
848484,51.8% Gray
84A0A0,Granny Smith
8581D9,Chetwode Blue
858470,Bandicoot
858585,52.2% Gray
859FAF,Bali Hai
85C4CC,Half Baked
860111,Red Devil
863C3C,Lotus
86483C,Ironstone
864D1E,Bull Shot
86560A,Rusty Nail
868686,52.5% Gray
868974,Bitter
86949F,Regent Gray
871550,Disco
87756E,Americano
877C7B,Hurricane
878787,52.9% Gray
878D91,Oslo Gray
87AB39,Sushi
885342,Spicy Mix
886221,Kumera
888387,Suva Gray
888888,53.3% Gray
888D65,Avocado
893456,Camelot
893843,Solid Pink
894367,Cannon Pink
897D6D,Makara
898989,53.7% Gray
8A3324,Burnt Umber
8A73D6,True V
8A8360,Clay Creek
8A8389,Monsoon
8A8A8A,54.1% Gray
8A8F8A,Stack
8AB9F1,Jordy Blue
8B00FF,Electric Violet
8B0723,Monarch
8B6B0B,Corn Harvest
8B8470,Olive Haze
8B847E,Schooner
8B8680,Natural Gray
8B8B8B,54.5% Gray
8B9C90,Mantle
8B9FEE,Portage
8BA690,Envy
8BA9A5,Cascade
8BE6D8,Riptide
8C055E,Cardinal Pink
8C472F,Mule Fawn
8C5738,Potters Clay
8C6495,Trendy Pink
8C8C8C,54.9% Gray
8D0226,Paprika
8D3D38,Sanguine Brown
8D3F3F,Tosca
8D7662,Cement
8D8974,Granite Green
8D8D8D,55.3% Gray
8D90A1,Manatee
8DA8CC,Polo Blue
8E0000,Red Berry
8E4D1E,Rope
8E6F70,Opium
8E775E,Domino
8E8190,Mamba
8E8E8E,55.7% Gray
8EABC1,Nepal
8F021C,Pohutukawa
8F3E33,El Salva
8F4B0E,Korma
8F8176,Squirrel
8F8F8F,56.1% Gray
8FD6B4,Vista Blue
900020,Burgundy
901E1E,Old Brick
907874,Hemp
907B71,Almond Frost
908D39,Sycamore
909090,56.5% Gray
919191,56.9% Gray
92000A,Sangria
924321,Cumin
926F5B,Beaver
928573,Stonewall
928590,Venus
929292,57.3% Gray
9370DB,Medium Purple
939393,57.6% Gray
93CCEA,Cornflower
93DFB8,Algae Green
944747,Copper Rust
948771,Arrowtown
949494,58.0% Gray
950015,Scarlett
956387,Strikemaster
959396,Mountain Mist
959595,58.4% Gray
960018,Carmine
964B00,Brown
967059,Leather
9678B6,Purple Mountain's Majesty
967BB6,Lavender Purple
969696,58.8% Gray
96A8A1,Pewter
96BBAB,Summer Green
97605D,Au Chico
9771B5,Wisteria
979797,59.2% Gray
97CD2D,Atlantis
983D61,Vin Rouge
9874D3,Lilac Bush
98777B,Bazaar
98811B,Hacienda
988D77,Pale Oyster
989898,59.6% Gray
98FF98,Mint Green
990066,Fresh Eggplant
991199,Violet Eggplant
991613,Tamarillo
991B07,Totem Pole
996666,Copper Rose
9966CC,Amethyst
997A8D,Mountbatten Pink
999999,60.0% Gray
9999CC,Blue Bell
9A3820,Prairie Sand
9A6E61,Toast
9A9577,Gurkha
9A9A9A,60.4% Gray
9AB973,Olivine
9AC2B8,Shadow Green
9B4703,Oregon
9B9B9B,60.8% Gray
9B9E8F,Lemon Grass
9C3336,Stiletto
9C9C9C,61.2% Gray
9D5616,Hawaiian Tan
9D9D9D,61.6% Gray
9DACB7,Gull Gray
9DC209,Pistachio
9DE093,Granny Smith Apple
9DE5FF,Anakiwa
9E5302,Chelsea Gem
9E5B40,Sepia Skin
9E9E9E,62.0% Gray
9EA587,Sage
9EA91F,Citron
9EB1CD,Rock Blue
9EDEE0,Morning Glory
9F381D,Cognac
9F821C,Reef Gold
9F9F9C,Star Dust
9F9F9F,62.4% Gray
9FA0B1,Santas Gray
9FD7D3,Sinbad
9FDD8C,Feijoa
A02712,Tabasco
A0A0A0,62.7% Gray
A1750D,Buttered Rum
A1A1A1,63.1% Gray
A1ADB5,Hit Gray
A1C50A,Citrus
A1DAD7,Aqua Island
A1E9DE,Water Leaf
A2006D,Flirt
A23B6C,Rouge
A26645,Cape Palliser
A2A2A2,63.5% Gray
A2AAB3,Gray Chateau
A2AEAB,Edward
A3807B,Pharlap
A397B4,Amethyst Smoke
A3A3A3,63.9% Gray
A3E3ED,Blizzard Blue
A4A49D,Delta
A4A4A4,64.3% Gray
A4A6D3,Wistful
A4AF6E,Green Smoke
A50B5E,Jazzberry Jam
A59B91,Zorba
A5A5A5,64.7% Gray
A5CB0C,Bahia
A62F20,Roof Terracotta
A65529,Paarl
A68B5B,Barley Corn
A69279,Donkey Brown
A6A29A,Dawn
A6A6A6,65.1% Gray
A72525,Mexican Red
A7882C,Luxor Gold
A7A7A7,65.5% Gray
A85307,Rich Gold
A86515,Reno Sand
A86B6B,Coral Tree
A8989B,Dusty Gray
A899E6,Dull Lavender
A8A589,Tallow
A8A8A8,65.9% Gray
A8AE9C,Bud
A8AF8E,Locust
A8BD9F,Norway
A8E3BD,Chinook
A9A491,Gray Olive
A9A9A9,66.3% Gray
A9ACB6,Aluminium
A9B2C3,Cadet Blue
A9B497,Schist
A9BDBF,Tower Gray
A9BEF2,Perano
A9C6C2,Opal
AA375A,Night Shadz
AA4203,Fire
AA8B5B,Muesli
AA8D6F,Sandal
AAA5A9,Shady Lady
AAA9CD,Logan
AAAAAA,66.7% Gray
AAABB7,Spun Pearl
AAD6E6,Regent St Blue
AAF0D1,Magic Mint
AB0563,Lipstick
AB3472,Royal Heath
AB917A,Sandrift
ABA0D9,Cold Purple
ABA196,Bronco
ABABAB,67.1% Gray
AC8A56,Limed Oak
AC91CE,East Side
AC9E22,Lemon Ginger
ACA494,Napa
ACA586,Hillary
ACA59F,Cloudy
ACACAC,67.5% Gray
ACACAC,Silver Chalice
ACB78E,Swamp Green
ACCBB1,Spring Rain
ACDD4D,Conifer
ACE1AF,Celadon
AD781B,Mandalay
ADADAD,67.8% Gray
ADBED1,Casper
ADDFAD,Moss Green
ADE6C4,Padua
ADFF2F,Green Yellow
AE4560,Hippie Pink
AE6020,Desert
AE809E,Bouquet
AEAEAE,68.2% Gray
AF4035,Medium Carmine
AF4D43,Apple Blossom
AF593E,Brown Rust
AF8751,Driftwood
AF8F2C,Alpine
AF9F1C,Lucky
AFA09E,Martini
AFAFAF,68.6% Gray
AFB1B8,Bombay
AFBDD9,Pigeon Post
B04C6A,Cadillac
B05D54,Matrix
B05E81,Tapestry
B06608,Mai Tai
B09A95,Del Rio
B0B0B0,69.0% Gray
B0E0E6,Powder Blue
B0E313,Inch Worm
B10000,Bright Red
B14A0B,Vesuvius
B1610B,Pumpkin Skin
B16D52,Santa Fe
B19461,Teak
B1B1B1,69.4% Gray
B1E2C1,Fringy Flower
B1F4E7,Ice Cold
B20931,Shiraz
B2A1EA,Biloba Flower
B2B2B2,69.8% Gray
B32D29,Tall Poppy
B35213,Fiery Orange
B38007,Hot Toddy
B3AF95,Taupe Gray
B3B3B3,70.2% Gray
B3C110,La Rioja
B43332,Well Read
B44668,Blush
B4B4B4,70.6% Gray
B4CFD3,Jungle Mist
B57281,Turkish Rose
B57EDC,Lavender
B5A27F,Mongoose
B5B35C,Olive Green
B5B5B5,71.0% Gray
B5D2CE,Jet Stream
B5ECDF,Cruise
B6316C,Hibiscus
B69D98,Thatch
B6B095,Heathered Gray
B6B6B6,71.4% Gray
B6BAA4,Eagle
B6D1EA,Spindle
B6D3BF,Gum Leaf
B7410E,Rust
B78E5C,Muddy Waters
B7A214,Sahara
B7A458,Husk
B7B1B1,Nobel
B7B7B7,71.8% Gray
B7C3D0,Heather
B7F0BE,Madang
B81104,Milano Red
B87333,Copper
B8B56A,Gimblet
B8B8B8,72.2% Gray
B8C1B1,Green Spring
B8C25D,Celery
B8E0F9,Sail
B94E48,Chestnut
B95140,Crail
B98D28,Marigold
B9B9B9,72.5% Gray
B9C46A,Wild Willow
B9C8AC,Rainee
BA0101,Guardsman Red
BA450C,Rock Spray
BA6F1E,Bourbon
BA7F03,Pirate Gold
BAB1A2,Nomad
BABABA,72.9% Gray
BAC7C9,Submarine
BAEEF9,Charlotte
BB3385,Medium Red Violet
BB8983,Brandy Rose
BBBBBB,73.3% Gray
BBD009,Rio Grande
BBD7C1,Surf
BCBCBC,73.7% Gray
BCC9C2,Powder Ash
BD5E2E,Tuscany
BD978E,Quicksand
BDB1A8,Silk
BDB2A1,Malta
BDB3C7,Chatelle
BDBBD7,Lavender Gray
BDBDBD,74.1% Gray
BDBDC6,French Gray
BDC8B3,Clay Ash
BDC9CE,Loblolly
BDEDFD,French Pass
BEA6C3,London Hue
BEB5B7,Pink Swan
BEBEBE,74.5% Gray
BEDE0D,Fuego
BF5500,Rose of Sharon
BFB8B0,Tide
BFBED8,Blue Haze
BFBFBF,74.9% Gray
BFC1C2,Silver Sand
BFC921,Key Lime Pie
BFDBE2,Ziggurat
BFFF00,Lime
C02B18,Thunderbird
C04737,Mojo
C08081,Old Rose
C0C0C0,75.3% Gray
C0C0C0,Silver
C0D3B9,Pale Leaf
C0D8B6,Pixie Green
C1440E,Tia Maria
C154C1,Fuchsia Pink
C1A004,Buddha Gold
C1B7A4,Bison Hide
C1BAB0,Tea
C1BECD,Gray Suit
C1C1C1,75.7% Gray
C1D7B0,Sprout
C1F07C,Sulu
C26B03,Indochine
C2955D,Twine
C2BDB6,Cotton Seed
C2C2C2,76.1% Gray
C2CAC4,Pumice
C2E8E5,Jagged Ice
C32148,Maroon Flush
C3B091,Indian Khaki
C3BFC1,Pale Slate
C3C3BD,Gray Nickel
C3C3C3,76.5% Gray
C3CDE6,Periwinkle Gray
C3D1D1,Tiara
C3DDF9,Tropical Blue
C41E3A,Cardinal
C45655,Fuzzy Wuzzy Brown
C45719,Orange Roughy
C4C4BC,Mist Gray
C4C4C4,76.9% Gray
C4D0B0,Coriander
C4F4EB,Mint Tulip
C54B8C,Mulberry
C59922,Nugget
C5994B,Tussock
C5C5C5,77.3% Gray
C5DBCA,Sea Mist
C5E17A,Yellow Green
C62D42,Brick Red
C6726B,Contessa
C69191,Oriental Pink
C6A84B,Roti
C6C3B5,Ash
C6C6C6,77.6% Gray
C6C8BD,Kangaroo
C6E610,Las Palmas
C7031E,Monza
C71585,Red Violet
C7BCA2,Coral Reef
C7C1FF,Melrose
C7C4BF,Cloud
C7C7C7,78.0% Gray
C7C9D5,Ghost
C7CD90,Pine Glade
C7DDE5,Botticelli
C88A65,Antique Brass
C8A2C8,Lilac
C8A528,Hokey Pokey
C8AABF,Lily
C8B568,Laser
C8C8C8,78.4% Gray
C8E3D7,Edgewater
C96323,Piper
C99415,Pizza
C9A0DC,Light Wisteria
C9B29B,Rodeo Dust
C9B35B,Sundance
C9B93B,Earls Green
C9C0BB,Silver Rust
C9C9C9,78.8% Gray
C9D9D2,Conch
C9FFA2,Reef
C9FFE5,Aero Blue
CA3435,Flush Mahogany
CABB48,Turmeric
CACACA,79.2% Gray
